time,Right Leg Pos,Left Leg Pos,Commanded Right Leg Pos,Commanded Left Leg Pos,DCR,DCL,GyroX,GyroY,GyroZ,AX,AY,AZ,RBEMF,LBEMF,VBatt,S1,S2,S3,S4,S5,S6,S7,S8
296,33432,-17188,0,0,-792,444,-95,-58,35,312,-154,3908,-8,0,919,1153,1239,800,1217,1498,1491,2205,1943
1297,33440,-17180,0,0,-867,369,-96,-56,32,320,-171,3902,-9,4,919,1153,1239,800,1217,1498,1491,2205,1943
2298,33436,-17168,0,0,-792,344,-94,-56,32,300,-170,3897,-8,5,919,1153,1239,800,1217,1498,1491,2205,1943
3299,33424,-17176,0,0,-742,469,-95,-56,34,306,-178,3861,-6,5,918,1153,1239,800,1217,1498,1491,2205,1943
4300,33424,-17180,0,0,-817,444,-96,-56,33,324,-170,3902,-2,4,919,1153,1239,800,1217,1498,1491,2205,1943
5301,33428,-17180,0,0,-842,419,-95,-55,31,305,-158,3895,5,2,919,1155,1241,803,1220,1499,1492,2205,1945
6302,33440,-17180,0,0,-892,419,-93,-54,31,287,-117,3895,6,0,919,1155,1241,803,1220,1499,1492,2205,1945
7304,33440,-17176,0,0,-817,394,-95,-56,31,323,-154,3931,6,-6,919,1155,1241,803,1220,1499,1492,2205,1945
8304,33432,-17176,0,0,-767,419,-95,-56,30,326,-164,3909,-1,-4,919,1155,1241,803,1220,1499,1492,2205,1945
9305,33444,-17172,0,0,-892,394,-96,-56,32,289,-143,3924,-2,2,919,1155,1241,803,1220,1499,1492,2205,1945
10306,33444,-17164,0,0,-817,369,-96,-56,32,272,-150,3926,-4,5,919,1155,1241,803,1220,1499,1492,2205,1945
11307,33444,-17176,0,0,-817,494,-96,-55,33,274,-152,3908,-8,4,919,1155,1241,803,1219,1498,1492,2205,1946
12308,33428,-17168,0,0,-717,369,-95,-55,33,274,-144,3892,-8,1,919,1155,1241,803,1219,1498,1492,2205,1946
13309,33440,-17184,0,0,-892,519,-94,-55,32,284,-151,3869,-8,-1,918,1155,1241,803,1219,1498,1492,2205,1946
14310,33432,-17176,0,0,-767,369,-95,-55,35,281,-132,3879,-8,-1,918,1155,1241,803,1219,1498,1492,2205,1946
15311,33440,-17176,0,0,-867,419,-94,-55,33,283,-139,3866,-9,2,919,1155,1241,803,1219,1498,1492,2205,1946
16312,33436,-17172,0,0,-792,394,-94,-55,34,306,-145,3875,-6,4,919,1154,1241,802,1219,1498,1490,2206,1947
17313,33444,-17180,0,0,-867,469,-92,-56,32,315,-127,3854,3,-6,919,1154,1241,802,1219,1498,1490,2206,1947
18314,33428,-17172,0,0,-717,369,-94,-58,31,277,-158,3926,4,2,917,1154,1241,802,1219,1498,1490,2206,1947
19315,33436,-17176,0,0,-867,444,-95,-56,32,284,-146,3890,5,-8,916,1154,1241,802,1219,1498,1490,2206,1947
20316,33436,-17176,0,0,-817,419,-96,-56,32,288,-156,3869,6,-8,918,1154,1241,802,1219,1498,1490,2206,1947
21317,33440,-17172,0,0,-842,394,-94,-55,32,306,-142,3892,6,-2,918,1154,1241,802,1219,1498,1490,2206,1947
22318,33436,-17172,0,0,-792,419,-94,-55,34,301,-136,3880,4,-5,919,1155,1241,803,1220,1498,1492,2205,1946
23319,33440,-17176,0,0,-842,444,-94,-57,35,269,-126,3892,-7,-8,918,1155,1241,803,1220,1498,1492,2205,1946
24320,33440,-17176,0,0,-817,419,-95,-58,34,296,-122,3888,-8,-5,919,1155,1241,803,1220,1498,1492,2205,1946
25321,33440,-17180,0,0,-817,444,-96,-56,33,281,-132,3868,-9,-2,919,1155,1241,803,1220,1498,1492,2205,1946
26322,33436,-17180,0,0,-792,419,-96,-56,35,289,-168,3886,-8,-7,919,1155,1241,803,1220,1498,1492,2205,1946
27323,33444,-17180,0,0,-867,419,-98,-56,35,297,-171,3904,-8,-5,919,1155,1241,803,1219,1498,1492,2205,1946
28324,33428,-17184,0,0,-717,444,-98,-57,37,261,-147,3879,-7,-8,919,1155,1241,803,1219,1498,1492,2205,1946
29325,33440,-17180,0,0,-892,394,-98,-57,37,280,-150,3882,-8,0,919,1155,1241,803,1219,1498,1492,2205,1946
30326,33432,-17168,0,0,-767,344,-96,-56,34,297,-147,3902,-8,-3,919,1155,1241,803,1219,1498,1492,2205,1946
31327,33432,-17176,0,0,-817,469,-95,-57,31,294,-126,3900,-5,-4,919,1155,1241,803,1219,1498,1492,2205,1946
32328,33428,-17176,0,0,-792,419,-94,-58,33,304,-142,3871,-9,-5,919,1155,1241,803,1219,1498,1492,2205,1946
33329,33440,-17176,0,0,-892,419,-94,-57,36,284,-140,3876,-6,-1,918,1151,1239,800,1217,1495,1490,2203,1943
34330,33448,-17176,0,0,-867,419,-96,-56,39,283,-158,3897,-2,5,918,1151,1239,800,1217,1495,1490,2203,1943
35331,33432,-17180,0,0,-717,444,-95,-56,36,286,-152,3906,-7,4,917,1151,1239,800,1217,1495,1490,2203,1943
36332,33432,-17180,0,0,-817,419,-94,-58,34,283,-184,3898,-6,3,916,1151,1239,800,1217,1495,1490,2203,1943
37333,33436,-17176,0,0,-842,394,-95,-59,35,287,-121,3909,-5,-8,919,1151,1239,800,1217,1495,1490,2203,1943
38334,33432,-17172,0,0,-792,394,-94,-59,34,290,-138,3893,-8,5,919,1155,1241,803,1219,1499,1491,2206,1946
39335,33432,-17176,0,0,-817,444,-95,-58,33,295,-150,3888,-7,4,919,1155,1241,803,1219,1499,1491,2206,1946
40336,33436,-17184,0,0,-842,469,-96,-58,34,286,-150,3902,-3,3,918,1155,1241,803,1219,1499,1491,2206,1946
41337,33444,-17176,0,0,-867,369,-95,-58,33,291,-159,3905,-7,-8,919,1155,1241,803,1219,1499,1491,2206,1946
42338,33432,-17180,0,0,-742,444,-95,-57,33,323,-158,3882,-4,-6,919,1155,1241,803,1219,1499,1491,2206,1946
43343,33444,-17180,0,0,-892,419,-94,-57,32,325,-158,3884,-1,-8,918,1155,1241,803,1219,1499,1491,2206,1946
44340,33436,-17164,0,0,-767,319,-95,-58,31,298,-157,3897,-5,-8,919,1155,1241,803,1219,1498,1491,2205,1946
45341,33436,-17172,0,0,-817,469,-95,-59,32,285,-164,3915,0,-7,918,1155,1241,803,1219,1498,1491,2205,1946
46342,33436,-17180,0,0,-817,469,-96,-58,32,292,-162,3905,5,5,918,1155,1241,803,1219,1498,1491,2205,1946
47343,33436,-17172,0,0,-817,369,-96,-59,32,315,-156,3909,5,5,918,1155,1241,803,1219,1498,1491,2205,1946
48344,33424,-17184,0,0,-742,494,-98,-58,31,300,-164,3896,6,5,919,1155,1241,803,1219,1498,1491,2205,1946
49345,33440,-17172,0,0,-917,344,-96,-58,31,299,-171,3899,4,5,918,1156,1242,803,1220,1500,1494,2207,1948
50346,33440,-17176,0,0,-817,444,-95,-58,31,309,-174,3889,3,2,918,1156,1242,803,1220,1500,1494,2207,1948
51347,33444,-17188,0,0,-842,494,-96,-60,32,314,-155,3876,-2,-7,918,1156,1242,803,1220,1500,1494,2207,1948
52348,33432,-17168,0,0,-742,294,-96,-59,31,313,-132,3889,-7,0,917,1156,1242,803,1220,1500,1494,2207,1948
53349,33440,-17180,0,0,-867,494,-94,-58,31,285,-140,3867,-7,5,917,1156,1242,803,1220,1500,1494,2207,1948
54350,33432,-17172,0,0,-767,369,-93,-60,29,283,-146,3846,-8,5,918,1155,1241,804,1220,1499,1492,2205,1945
55351,33436,-17172,0,0,-842,419,-94,-61,32,299,-152,3883,-4,-6,918,1155,1241,804,1220,1499,1492,2205,1945
56352,33432,-17184,0,0,-792,494,-96,-61,33,300,-120,3866,-8,-7,918,1155,1241,804,1220,1499,1492,2205,1945
57353,33444,-17184,0,0,-892,419,-97,-60,34,289,-120,3870,-4,-6,918,1155,1241,804,1220,1499,1492,2205,1945
58354,33440,-17180,0,0,-792,394,-96,-57,33,293,-151,3914,-3,2,919,1155,1241,804,1220,1499,1492,2205,1945
59355,33432,-17184,0,0,-767,444,-94,-57,33,307,-158,3933,-5,3,918,1155,1241,804,1220,1499,1492,2205,1945
60356,33444,-17172,0,0,-892,344,-95,-58,31,289,-155,3876,-2,-1,918,1155,1241,803,1219,1498,1492,2205,1946
61357,33440,-17180,0,0,-792,469,-97,-58,30,295,-162,3856,1,-8,918,1155,1241,803,1219,1498,1492,2205,1946
62358,33440,-17184,0,0,-817,444,-98,-58,31,306,-168,3860,-5,0,918,1155,1241,803,1219,1498,1492,2205,1946
63359,33440,-17172,0,0,-817,344,-97,-59,31,289,-162,3881,-1,5,918,1155,1241,803,1219,1498,1492,2205,1946
64360,33440,-17172,0,0,-817,419,-94,-58,32,311,-131,3902,4,0,918,1155,1241,803,1219,1498,1492,2205,1946
65361,33436,-17180,0,0,-792,469,-94,-56,33,321,-138,3895,6,-8,919,1156,1241,804,1219,1498,1492,2208,1945
66362,33432,-17180,0,0,-792,419,-95,-54,36,304,-133,3904,4,-3,918,1156,1241,804,1219,1498,1492,2208,1945
67363,33436,-17168,0,0,-842,344,-96,-56,35,297,-147,3908,-2,6,918,1156,1241,804,1219,1498,1492,2208,1945
68364,33440,-17176,0,0,-842,469,-97,-58,33,309,-158,3884,-2,-4,918,1156,1241,804,1219,1498,1492,2208,1945
69365,33432,-17180,0,0,-767,444,-95,-57,34,298,-146,3855,-3,-7,917,1156,1241,804,1219,1498,1492,2208,1945
70366,33428,-17176,0,0,-792,394,-94,-55,36,308,-162,3887,-7,6,917,1156,1241,804,1219,1498,1492,2208,1945
71367,33428,-17184,0,0,-817,469,-94,-54,34,310,-145,3868,-9,-5,918,1155,1240,803,1219,1498,1491,2205,1944
72368,33436,-17164,0,0,-867,294,-94,-56,33,314,-158,3874,-8,-8,918,1155,1240,803,1219,1498,1491,2205,1944
73369,33428,-17176,0,0,-767,494,-95,-56,35,298,-147,3909,-7,4,918,1155,1240,803,1219,1498,1491,2205,1944
74370,33420,-17180,0,0,-766,444,-97,-56,34,291,-158,3877,-7,-5,918,1155,1240,803,1219,1498,1491,2205,1944
75371,33436,-17180,0,0,-917,419,-97,-57,31,296,-150,3842,1,-8,918,1155,1240,803,1219,1498,1491,2205,1944
76372,33428,-17184,0,0,-767,444,-94,-55,33,299,-120,3875,6,4,919,1156,1243,804,1220,1500,1493,2206,1946
77373,33440,-17164,0,0,-892,294,-93,-56,34,281,-108,3880,4,3,918,1156,1243,804,1220,1500,1493,2206,1946
78374,33428,-17180,0,0,-742,519,-95,-58,34,274,-137,3907,-7,-6,918,1156,1243,804,1220,1500,1493,2206,1946
79375,33448,-17172,0,0,-942,369,-99,-59,33,279,-154,3937,-8,0,918,1156,1243,804,1220,1500,1493,2206,1946
80376,33436,-17180,0,0,-742,469,-99,-57,31,273,-150,3918,-7,4,918,1156,1243,804,1220,1500,1493,2206,1946
81377,33444,-17180,0,0,-867,419,-96,-54,32,296,-144,3898,1,2,918,1156,1243,804,1220,1500,1493,2206,1946
82378,33432,-17176,0,0,-742,394,-94,-54,35,308,-147,3910,6,-8,918,1155,1241,803,1220,1498,1492,2206,1945
83379,33436,-17184,0,0,-842,469,-96,-55,34,304,-131,3864,6,3,918,1155,1241,803,1220,1498,1492,2206,1945
84380,33428,-17176,0,0,-767,369,-96,-57,32,280,-133,3866,6,3,918,1155,1241,803,1220,1498,1492,2206,1945
85381,33440,-17184,0,0,-892,469,-97,-56,32,280,-142,3874,5,-8,918,1155,1241,803,1220,1498,1492,2206,1945
86382,33428,-17188,0,0,-742,444,-95,-53,35,290,-142,3847,6,6,917,1155,1241,803,1220,1498,1492,2206,1945
87383,33436,-17176,0,0,-867,344,-94,-51,33,314,-148,3861,4,2,917,1154,1241,803,1219,1498,1492,2205,1945
88384,33424,-17172,0,0,-742,394,-94,-53,32,280,-155,3877,-2,-8,918,1154,1241,803,1219,1498,1492,2205,1945
89385,33436,-17180,0,0,-892,469,-96,-56,33,294,-155,3899,5,4,918,1154,1241,803,1219,1498,1492,2205,1945
90386,33440,-17172,0,0,-842,369,-98,-58,32,301,-146,3890,5,6,918,1154,1241,803,1219,1498,1492,2205,1945
91388,33440,-17172,0,0,-817,419,-98,-56,31,278,-126,3904,4,0,918,1154,1241,803,1219,1498,1492,2205,1945
92388,33432,-17172,0,0,-767,419,-97,-55,35,307,-157,3909,6,-7,918,1154,1241,803,1219,1498,1492,2205,1945
93389,33432,-17180,0,0,-817,469,-96,-57,32,304,-160,3861,4,-1,918,1155,1241,803,1219,1498,1491,2204,1945
94390,33440,-17176,0,0,-867,394,-94,-57,31,283,-156,3866,-4,5,918,1155,1241,803,1219,1498,1491,2204,1945
95391,33436,-17176,0,0,-792,419,-95,-57,32,278,-144,3895,-9,-8,918,1155,1241,803,1219,1498,1491,2204,1945
96392,33436,-17172,0,0,-817,394,-97,-58,33,283,-150,3867,-5,-6,918,1155,1241,803,1219,1498,1491,2204,1945
97393,33436,-17176,0,0,-817,444,-95,-56,31,289,-167,3852,0,4,918,1155,1241,803,1219,1498,1491,2204,1945
98394,33440,-17172,0,0,-842,394,-95,-57,31,292,-155,3871,-2,-5,918,1155,1241,803,1219,1498,1491,2205,1945
99395,33436,-17176,0,0,-792,444,-96,-57,31,306,-155,3862,2,-8,918,1155,1241,803,1219,1498,1491,2205,1945
100396,33444,-17168,0,0,-867,369,-94,-55,30,292,-153,3877,5,3,918,1155,1241,803,1219,1498,1491,2205,1945
101397,33444,-17180,0,0,-817,494,-95,-55,30,295,-147,3893,4,6,918,1155,1241,803,1219,1498,1491,2205,1945
102398,33452,-17176,0,0,-867,394,-96,-53,34,275,-153,3901,6,1,918,1155,1241,803,1219,1498,1491,2205,1945
103399,33424,-17176,0,0,-642,419,-97,-54,35,276,-169,3908,6,-8,918,1155,1241,803,1219,1498,1491,2205,1945
104400,33444,-17184,0,0,-942,469,-97,-56,32,295,-158,3898,6,5,917,1153,1239,803,1220,1499,1491,2206,1946
105401,33436,-17180,16384,16384,2558,3719,-95,-55,31,278,-134,3872,5,-6,918,1153,1239,803,1220,1499,1491,2206,1946
106402,33444,-17168,16852,16852,2469,3680,-96,-56,32,298,-161,3895,5,-4,813,1153,1239,803,1220,1499,1491,2206,1946
107403,33556,-17128,17320,17320,1828,3516,-76,-36,30,369,-330,4148,-22,6,819,1153,1239,803,1220,1499,1491,2206,1946
108404,33748,-16728,17788,17788,1335,1267,-46,-8,36,535,-524,4257,12,-77,839,1153,1239,803,1220,1499,1491,2206,1946
109405,33980,-16332,18256,18256,1091,1294,5,-45,36,262,-63,4799,38,-201,887,1155,1242,803,1224,1502,1494,2206,1944
110406,34240,-15804,18724,18724,921,467,-39,-10,42,466,5,5259,52,74,893,1155,1242,803,1224,1502,1494,2206,1944
111407,34504,-15276,19192,19192,901,466,-73,18,66,557,-92,4532,45,73,905,1155,1242,803,1224,1502,1494,2206,1944
112408,34808,-14808,19660,19660,655,841,-127,56,93,161,-414,4995,54,97,906,1155,1242,803,1224,1502,1494,2206,1944
113409,35100,-14308,20128,20128,734,640,-150,28,101,266,-454,3571,63,89,906,1155,1242,803,1224,1502,1494,2206,1944
114410,35412,-13788,20596,20596,613,514,-155,61,124,388,-283,4520,65,85,906,1155,1242,803,1224,1502,1494,2206,1944
115411,35716,-13332,21064,21064,667,914,-207,75,168,153,-721,3522,66,82,909,1165,1253,809,1235,1513,1513,2255,1979
116412,36024,-12852,21532,21532,646,764,-245,126,186,349,-563,3988,67,92,905,1165,1253,809,1235,1513,1513,2255,1979
117413,36304,-12344,22000,22000,825,588,-266,210,245,661,-862,3403,50,91,907,1165,1253,809,1235,1513,1513,2255,1979
118414,36548,-11880,22468,22468,1056,863,-253,226,294,569,-852,3744,51,81,907,1165,1253,809,1235,1513,1513,2255,1979
119415,36820,-11452,22936,22936,886,1089,-210,323,275,426,-583,3756,55,82,902,1165,1253,809,1235,1513,1513,2255,1979
120416,37128,-11008,23404,23404,664,990,-136,323,252,380,-1107,4167,54,77,901,1171,1258,813,1235,1542,1533,2275,1978
121417,37432,-10592,23872,23872,693,1166,-60,287,233,-78,-1109,4775,70,80,901,1171,1258,813,1235,1542,1533,2275,1978
122418,37716,-10120,24340,24340,823,816,-14,258,240,249,-839,5086,54,90,901,1171,1258,813,1235,1542,1533,2275,1978
123419,38004,-9708,24808,24808,802,1192,49,125,281,68,-739,5656,59,83,903,1171,1258,813,1235,1542,1533,2275,1978
124420,38284,-9328,25276,25276,857,1394,100,50,270,-125,-49,6016,60,82,900,1171,1258,813,1235,1542,1533,2275,1978
125421,38552,-8956,25744,25744,937,1447,96,-23,258,-230,-166,5823,55,79,897,1171,1258,813,1235,1542,1533,2275,1978
126422,38828,-8524,26212,26212,891,1073,73,-104,307,-62,-594,5865,66,80,895,1151,1238,801,1224,1497,1490,2213,1934
127423,39096,-8208,26680,26680,946,1801,60,-217,370,-72,-470,5531,50,68,900,1151,1238,801,1224,1497,1490,2213,1934
128424,39356,-7880,27148,27148,1001,1730,52,-230,400,4,-5,6130,60,73,888,1151,1238,801,1224,1497,1490,2213,1934
129425,39636,-7576,27616,27616,881,1884,77,-179,394,790,-722,5319,55,64,886,1151,1238,801,1224,1497,1490,2213,1934
130426,39904,-7224,28084,28084,961,1587,133,-130,427,795,-732,5626,51,66,886,1151,1238,801,1224,1497,1490,2213,1934
131427,40160,-6916,28552,28552,1041,1865,171,-74,457,1094,-744,5674,60,62,891,1196,1300,826,1268,1498,1496,2276,2016
132428,40420,-6628,29020,29020,1021,1995,248,-8,498,1180,-603,5337,43,57,886,1196,1300,826,1268,1498,1496,2276,2016
133429,40652,-6348,29488,29488,1202,2049,365,41,516,982,-590,5203,59,51,883,1196,1300,826,1268,1498,1496,2276,2016
134430,40916,-6076,29956,29956,1007,2104,505,90,483,511,-728,5289,58,34,880,1196,1300,826,1268,1498,1496,2276,2016
135431,41180,-5824,30424,30424,1012,2234,601,60,454,118,-683,5188,51,33,879,1196,1300,826,1268,1498,1496,2276,2016
136432,41416,-5596,30892,30892,1193,2390,713,24,464,287,-88,5084,58,34,877,1196,1300,826,1268,1498,1496,2276,2016
137433,41656,-5352,31360,31360,1173,2296,806,2,450,701,-366,5014,56,31,873,1257,1376,857,1308,1523,1510,2328,2034
138434,41900,-5148,31828,31828,1154,2552,902,-36,410,-193,-185,5194,50,11,873,1257,1376,857,1308,1523,1510,2328,2034
139435,42152,-4920,32768,32768,1120,2420,991,-182,349,-332,465,5258,43,26,866,1257,1376,857,1308,1523,1510,2328,2034
140436,42404,-4716,33236,33236,1126,2576,1068,-325,335,178,239,5369,43,0,871,1257,1376,857,1308,1523,1510,2328,2034
141437,42616,-4520,33704,33704,1382,2633,1143,-511,356,670,-30,5259,42,12,868,1257,1376,857,1308,1523,1510,2328,2034
142438,42832,-4332,34172,34172,1363,2690,1179,-660,322,740,556,5857,47,-5,864,1263,1381,845,1295,1460,1446,2215,1956
143439,43036,-4140,34640,34640,1445,2671,1217,-823,329,421,674,5556,34,-11,860,1263,1381,845,1295,1460,1446,2215,1956
144440,43260,-3952,35108,35108,1325,2703,1259,-900,324,793,263,5875,38,-6,861,1263,1381,845,1295,1460,1446,2215,1956
145441,43484,-3756,35576,35576,1331,2660,1321,-827,259,1024,684,5877,47,-7,863,1263,1381,845,1295,1460,1446,2215,1956
146442,43696,-3576,36044,36044,1413,2767,1450,-721,178,821,711,5431,48,-23,859,1263,1381,845,1295,1460,1446,2215,1956
147443,43880,-3404,36512,36512,1595,2824,1556,-696,179,1203,382,6206,40,-20,860,1263,1381,845,1295,1460,1446,2215,1956
148444,44104,-3228,36980,36980,1351,2806,1644,-862,286,1300,336,5822,34,-20,854,1220,1336,821,1238,1443,1433,2184,1970
149445,44352,-3040,37448,37448,1206,2738,1734,-944,303,1160,282,5791,43,-26,857,1220,1336,821,1238,1443,1433,2184,1970
150446,44552,-2852,37916,37916,1512,2745,1937,-1096,271,512,409,4913,48,-37,860,1220,1336,821,1238,1443,1433,2184,1970
151447,44760,-2688,38384,38384,1469,2902,2093,-1294,288,124,187,5294,36,-26,857,1220,1336,821,1238,1443,1433,2184,1970
152448,44960,-2528,38852,38852,1525,2935,2206,-1496,391,-236,1050,5306,33,-33,854,1220,1336,821,1238,1443,1433,2184,1970
153449,45156,-2356,39320,39320,1557,2867,2274,-1389,382,207,922,5346,39,-45,853,1187,1305,820,1231,1484,1460,2225,1993
154450,45352,-2196,39788,39788,1564,2950,2321,-1140,260,-195,960,4199,39,-58,855,1187,1305,820,1231,1484,1460,2225,1993
155451,45548,-2028,40256,40256,1570,2907,2338,-864,106,70,1357,4098,31,-42,850,1187,1305,820,1231,1484,1460,2225,1993
156452,45716,-1872,40724,40724,1753,2989,2284,-821,27,778,1220,3539,40,-57,853,1187,1305,820,1231,1484,1460,2225,1993
157453,45896,-1680,41192,41192,1685,2771,2192,-976,53,711,1093,3491,34,-53,847,1187,1305,820,1231,1484,1460,2225,1993
158454,46076,-1520,41660,41660,1692,2979,2125,-1188,128,-450,1755,3617,30,-68,852,1187,1305,820,1231,1484,1460,2225,1993
159455,46260,-1372,42128,42128,1674,3062,2113,-1317,150,-6,1145,4077,35,-25,846,1217,1328,837,1265,1501,1493,2246,1984
160456,46432,-1224,42596,42596,1756,3069,2098,-1239,157,423,1259,4364,31,-47,845,1217,1328,837,1265,1501,1493,2246,1984
161457,46604,-1056,43064,43064,1763,2952,2136,-1141,178,-263,1205,4245,36,-66,843,1217,1328,837,1265,1501,1493,2246,1984
162458,46780,-896,43532,43532,1745,3009,2151,-1140,172,8,1039,4226,20,-68,842,1217,1328,837,1265,1501,1493,2246,1984
163459,46960,-720,44000,44000,1727,2916,2156,-1240,221,95,1220,4059,38,-57,847,1217,1328,837,1265,1501,1493,2246,1984
164460,47156,-552,44468,44468,1634,2974,2180,-1328,260,101,1647,4254,39,-49,850,1158,1244,806,1199,1533,1515,2234,1986
165461,47320,-368,44936,44936,1841,2881,2229,-1245,290,-170,1404,4345,25,-46,850,1158,1244,806,1199,1533,1515,2234,1986
166462,47488,-188,45404,45404,1824,2913,2293,-1114,309,449,2002,4167,22,-58,844,1158,1244,806,1199,1533,1515,2234,1986
167463,47652,-12,45872,45872,1856,2945,2323,-941,337,556,1079,4128,25,-38,848,1158,1244,806,1199,1533,1515,2234,1986
168464,47812,172,46340,46340,1889,2902,2305,-782,375,-269,2109,4109,20,-44,845,1158,1244,806,1199,1533,1515,2234,1986
169465,47980,344,46808,46808,1846,2984,2257,-665,398,158,1598,3888,20,-52,845,1158,1244,806,1199,1533,1515,2234,1986
170466,48140,540,47276,47276,1903,2841,2168,-637,426,673,2094,3759,33,-45,844,1089,1183,776,1141,1502,1467,2155,1931
171467,48312,732,47744,47744,1836,2872,1987,-482,427,33,1954,4150,20,-53,846,1089,1183,776,1141,1502,1467,2155,1931
172468,48496,892,48212,48212,1768,3080,1822,-348,405,84,2796,3816,19,-34,844,1089,1183,776,1141,1502,1467,2155,1931
173469,48652,1064,48680,48680,1950,3012,1682,-158,434,379,1113,3082,32,-52,842,1089,1183,776,1141,1502,1467,2155,1931
174470,48804,1232,49152,49152,1983,3044,1554,-36,448,-205,2096,3141,29,-84,839,1089,1183,776,1141,1502,1467,2155,1931
175471,48952,1368,49620,49620,2016,3253,1418,-15,432,-160,1736,2633,27,-70,841,1100,1195,786,1161,1521,1496,2210,1986
176472,49120,1516,50088,50088,1898,3185,1302,-32,444,77,1217,2243,29,-79,836,1100,1195,786,1161,1521,1496,2210,1986
177473,49296,1704,50556,50556,1855,2942,1201,-3,483,-246,1617,2149,23,-139,839,1100,1195,786,1161,1521,1496,2210,1986
178474,49472,1880,51024,51024,1862,3024,1131,97,504,-346,1579,2294,21,-114,847,1100,1195,786,1161,1521,1496,2210,1986
179475,49656,2052,51492,51492,1819,3057,1105,166,519,-288,1469,2284,26,-55,842,1100,1195,786,1161,1521,1496,2210,1986
180476,49832,2236,51960,51960,1876,2988,1092,237,569,-168,1600,2559,21,-61,842,1100,1195,786,1161,1521,1496,2210,1986
181477,50000,2428,52428,52428,1934,2945,1118,257,635,66,1585,2478,22,-74,842,1097,1184,790,1154,1602,1565,2285,2043
182478,50176,2592,52896,52896,1891,3128,1073,380,666,270,1566,3131,30,-67,842,1097,1184,790,1154,1602,1565,2285,2043
183479,50324,2748,53364,53364,2074,3185,988,410,693,-35,2460,2680,20,-58,837,1097,1184,790,1154,1602,1565,2285,2043
184480,50476,2896,53832,53832,2056,3243,853,526,713,119,2170,2999,29,-83,826,1097,1184,790,1154,1602,1565,2285,2043
185481,50620,3060,54300,54300,2114,3150,735,563,739,-51,2915,2589,22,-103,833,1097,1184,790,1154,1602,1565,2285,2043
186482,50800,3244,54768,54768,1896,3032,564,682,740,422,2676,3185,15,-115,834,1065,1156,772,1128,1532,1492,2168,1948
187483,50964,3420,55236,55236,2004,3090,423,778,722,341,3682,2920,12,-109,841,1065,1156,772,1128,1532,1492,2168,1948
188484,51112,3604,55704,55704,2112,3046,298,837,696,741,3414,3036,15,-77,838,1065,1156,772,1128,1532,1492,2168,1948
189485,51244,3752,56172,56172,2220,3279,183,888,637,1024,2618,2949,24,-97,832,1065,1156,772,1128,1532,1492,2168,1948
190486,51416,3916,56640,56640,1977,3187,64,869,655,-47,3107,2935,18,-79,830,1065,1156,772,1128,1532,1492,2168,1948
191487,51604,4084,57108,57108,1884,3169,-40,874,631,387,3065,3229,20,-150,835,1065,1156,772,1128,1532,1492,2168,1948
192488,51780,4248,57576,57576,1966,3201,-148,948,580,2194,1461,3242,29,-103,837,1063,1155,769,1124,1500,1468,2141,1948
193489,51956,4388,58044,58044,1973,3359,-267,1042,741,411,1850,2905,35,-96,832,1063,1155,769,1124,1500,1468,2141,1948
194490,52148,4564,58512,58512,1880,3142,-334,1147,798,-1280,1846,3007,32,-97,829,1063,1155,769,1124,1500,1468,2141,1948
195491,52308,4752,58980,58980,2087,3073,-381,1032,855,-1046,503,2219,37,-183,837,1063,1155,769,1124,1500,1468,2141,1948
196492,52544,4960,59448,59448,1618,2955,-382,755,950,394,1992,2073,36,-97,834,1063,1155,769,1124,1500,1468,2141,1948
197493,52740,5092,59916,59916,1875,3438,-329,804,896,399,3001,2543,38,-86,845,1084,1177,785,1145,1562,1523,2246,2029
198494,52936,5236,60384,60384,1881,3371,-307,928,778,684,1369,1948,39,-65,830,1084,1177,785,1145,1562,1523,2246,2029
199495,53132,5408,60852,60852,1888,3203,-283,741,854,370,2173,1372,41,-243,824,1084,1177,785,1145,1562,1523,2246,2029
200496,53296,5600,61320,61320,2095,3085,-365,770,865,837,3427,3542,34,-233,837,1084,1177,785,1145,1562,1523,2246,2029
201497,53492,5784,61788,61788,1902,3142,-370,797,815,357,2112,2140,23,-122,837,1084,1177,785,1145,1562,1523,2246,2029
202498,53672,5984,62256,62256,2009,3048,-318,791,782,999,2960,2618,28,-77,838,1084,1177,785,1145,1562,1523,2246,2029
203499,53860,6164,62724,62724,1966,3180,-347,797,757,1315,3450,3454,30,-97,839,1110,1213,797,1165,1530,1485,2194,1969
204500,54040,6352,63192,63192,2023,3137,-404,751,737,1266,3815,3314,24,-75,834,1110,1213,797,1165,1530,1485,2194,1969
205501,54212,6556,63660,63660,2080,3044,-494,822,706,1313,3926,3732,25,-90,835,1110,1213,797,1165,1530,1485,2194,1969
206502,54400,6728,64128,64128,1987,3251,-557,842,684,1034,4185,3429,33,-80,834,1110,1213,797,1165,1530,1485,2194,1969
207503,54548,6920,64596,64596,2245,3133,-609,897,695,945,3317,3656,15,-79,832,1110,1213,797,1165,1530,1485,2194,1969
208504,54712,7124,65064,65064,2152,3064,-643,912,730,1144,3429,3773,21,-129,831,1124,1227,791,1171,1445,1419,2103,1913
209505,54884,7312,65536,65536,2110,3171,-644,893,769,873,3466,4019,26,-78,833,1124,1227,791,1171,1445,1419,2103,1913
